ticker,basic average shares,basic eps,cost of revenue,diluted average shares,diluted eps,gross profit,income before tax,income tax expenses,interest expense,net income,net income common stockholders,net income continuous operations,operating expense,operating income or loss,other income expense net,research and development,selling general and administration,total revenue,report date
HINDUNILVR.NS,-,-,48499998720,-,-,50219999232,22919999488,7180000256,70000000,15699999744,15699999744,15740000256,27719999488,22499999744,-,-,27170000896,98719997952,2019-03-31
HINDUNILVR.NS,-,-,66480001024,-,-,56769998848,28889999360,6979999744,110000000,21859999744,21859999744,21909999616,28999999488,27769999360,-,-,31609999360,123249999872,2021-03-31
HINDUNILVR.NS,2164679936,8.38,46109999104,2164679936,8.38,53460000768,22900000768,4720000000,340000000,18140000256,18140000256,18179999744,30919999488,22539999232,-,-,12000000000,99569999872,2019-09-30
HINDUNILVR.NS,2349009920,8.08,51640000512,2349009920,8.08,55670001664,24419999744,5449999872,310000000,18979999744,18979999744,18969999360,31289999360,24380000256,-,-,8000000000,107309998080,2020-06-30
HINDUNILVR.NS,2350000128,8.4,54919999488,2350000128,8.4,61909999616,26389999616,6649999872,310000000,19740000256,19740000256,19740000256,35309998080,26599999488,-,-,11440000000,116830003200,2020-09-30
HINDUNILVR.NS,2164250112,8.28,47659999232,2166870016,8.27,55979999232,26200000512,8249999872,270000000,17920000000,17920000000,17949999104,31029999616,24949999616,-,-,11669999616,103639998464,2019-06-30
HINDUNILVR.NS,-,-,49540001792,-,-,42569998336,20039999488,4840000000,300000000,15150000128,15150000128,15200000000,24280000512,18289999872,-,-,26819999744,92109996032,2020-03-31
HINDUNILVR.NS,2166439936,7.51,46270001152,2166439936,7.51,53510000640,22589999104,6280000000,270000000,16270000128,16270000128,16309999616,30699999232,22809999360,-,-,11710000128,99780001792,2019-12-31
HINDUNILVR.NS,2350729984,8.24,55979999232,2350729984,8.24,65829998592,26360000512,6979999744,440000000,19370000384,19370000384,19380000768,39060000768,26769999872,-,-,13920000000,121810001920,2020-12-31
