ticker,accounts payable,accounts receivable,accumulated depreciation,capital stock,cash and cash equivalents,cash cash equivalents and marketable securities,current accrued expenses,current assets,current debt,current deferred revenue,current liabilities,gains losses not affecting retained earnings,goodwill,gross ppe,income tax payable,inventory,investments and advances,long term debt,net ppe,non current deferred revenue,non current deferred taxes liabilities,other current assets,other current liabilities,other intangible assets,other non current assets,other non current liabilities,other short term investments,retained earnings,stockholders equity,total non current assets,total non current liabilities net minority interest,report date
TCS.NS,62919999488,273460002816,-141110001664,3750000128,126520000512,419389997056,-,921310003200,0,-,220840001536,-,16999999488,254850007040,-,100000000,-,-,113739997184,8440000000,10419999744,1360000000,740000000,1790000000,300000000,4129999872,292869996544,855199973376,894459969536,228120002560,29600000000,2019-03-31
TCS.NS,78600003584,300789989376,-175479996416,3700000000,68450000896,-,-,992800014336,-,-,341550006272,-,17980000256,371920011264,-,80000000,-,-,196439998464,11969999872,7670000128,2729999872,300000000,5049999872,4150000128,-,315380006912,795860008960,864329990144,314789986304,94960001024,2021-03-31
TCS.NS,67340001280,276530003968,-,3750000128,162279997440,483279994880,-,984879988736,-,-,238399995904,-,16769999872,177469997056,-,70000000,-,-,177469997056,6819999744,9080000512,75290001408,30850000896,2390000128,17949999104,-,321000013824,-,950319972352,288470007808,79360000000,2019-09-30
TCS.NS,61460000768,302709997568,-160930004992,3750000128,97409998848,-,-,963939991552,-,-,273570004992,-,17520001024,359170015232,-,50000000,-,-,198239993856,6409999872,6230000128,1160000000,790000000,3120000000,3080000000,83920003072,295970013184,828360032256,896560005120,302669987840,90150002688,2020-06-30
TCS.NS,57890000896,282419986432,-,3750000128,63439998976,-,-,1033760014336,-,-,289289994240,-,17739999232,195030007808,-,50000000,-,-,195030007808,5249999872,6390000128,91090001920,42539999232,3409999872,15900000256,-,426059988992,-,951369990144,300219990016,86940000256,2020-09-30
TCS.NS,-,-,-,-,122120003584,122120003584,-,624219979776,-,-,233249996800,-,17089999872,179379994624,-,-,-,68459999232,179379994624,-,8860000256,-,233249996800,-,-,12309999616,-,-,893249978368,596949991424,89629999104,2019-06-30
TCS.NS,67399999488,305320001536,-155029995520,3750000128,86459998208,-,-,902369968128,-,-,270599995392,-,17100000256,353440006144,-,50000000,-,-,198409994240,6969999872,7790000128,1290000000,620000000,2830000128,2980000000,-,270790000640,788100022272,841260007424,306620006400,90899996672,2020-03-31
TCS.NS,-,-,-,-,111319998464,111319998464,-,618659971072,-,-,249360007168,-,17200001024,185429999616,-,-,-,0,185429999616,-,9770000384,-,249360007168,-,-,73629999104,-,-,830789976064,550429982720,83399999488,2019-12-31
TCS.NS,63950000128,299239997440,-171049992192,3750000128,71979999232,-,-,1116479946752,-,-,527199993856,-,18499999744,366959984640,-,50000000,-,-,195909992448,4350000128,6950000128,1240000000,600000000,4000000000,3070000128,-,503939989504,727589978112,800180011008,304280010752,86670000128,2020-12-31
