ticker,accounts payable,accounts receivable,accumulated depreciation,capital stock,cash and cash equivalents,cash cash equivalents and marketable securities,current accrued expenses,current assets,current debt,current deferred revenue,current liabilities,gains losses not affecting retained earnings,goodwill,gross ppe,income tax payable,inventory,investments and advances,long term debt,net ppe,non current deferred revenue,non current deferred taxes liabilities,other current assets,other current liabilities,other intangible assets,other non current assets,other non current liabilities,other short term investments,retained earnings,stockholders equity,total non current assets,total non current liabilities net minority interest,report date
MARUTI.NS,96377004032,23128000512,-104718999552,1510000000,1859000064,52475998208,-,123727003648,1516000000,-,141604995072,-,-,270649999360,-,33226000384,-,80000000,165931008000,20370999296,6138999808,4867999744,-,4511000064,8693999616,-,50616999936,416520011776,470920986624,515960012800,26985000960,2019-03-31
MARUTI.NS,101680996352,12798999552,-,1510000000,30471000064,-,-,185442992128,4888000000,-,161204994048,-,-,159637995520,-,30489999360,-,28000000,159637995520,-,4454000128,15461999616,25866999808,5216999936,16867000320,21294999552,90583998464,-,525006012416,527383986176,26616000512,2021-03-31
MARUTI.NS,79403999232,27619000320,-,1510000000,1003000000,14593000448,-,95627001856,4076000000,-,122699997184,-,-,170354999296,-,39279001600,-,70000000,170354999296,-,5480999936,9678999552,16588999680,-,13262000128,21006999552,13589999616,-,466721013760,521511010304,27530999808,2019-09-30
MARUTI.NS,80714997760,21774000128,-,1510000000,563000000,-,-,89887997952,1548999936,-,124818997248,-,-,162818998272,-,26257999872,-,41000000,162818998272,-,5811999744,8264999936,18709000192,4962999808,15523999744,19687000064,26989000704,-,489626009600,551073021952,26516000768,2020-09-30
MARUTI.NS,74988003328,21297999872,-134228000768,1510000000,261000000,-,-,84406001664,1086000000,-,113053999104,-,-,301757005824,-,32138999808,-,54000000,167529005056,21158000640,6575000064,2187000064,-,7072999936,9985999872,-,12202999808,442143014912,494130003968,551870988288,28900999168,2020-03-31
