ticker,accounts payable,accounts receivable,accumulated depreciation,capital stock,cash and cash equivalents,cash cash equivalents and marketable securities,current accrued expenses,current assets,current debt,current deferred revenue,current liabilities,gains losses not affecting retained earnings,goodwill,gross ppe,income tax payable,inventory,investments and advances,long term debt,net ppe,non current deferred revenue,non current deferred taxes liabilities,other current assets,other current liabilities,other intangible assets,other non current assets,other non current liabilities,other short term investments,retained earnings,stockholders equity,total non current assets,total non current liabilities net minority interest,report date
HDFC.NS,132312997888,-,-1576999936,3442899968,56805101568,-,-,-,-,-,-,-,6314999808,13661299712,-,-,782831976448,-,12084299776,-,-,-,-,989699968,-,-,-,413813997568,1117329948672,-,-,2019-03-31
HDFC.NS,147893993472,-,-6477300224,3607899904,30977499136,-,-,-,-,-,-,-,16067699712,23961800704,-,-,1130109992960,-,17484500992,-,-,-,-,10673200128,-,-,-,615041990656,1567129993216,-,-,2021-03-31
HDFC.NS,24586199040,-,-,3453400064,24301899776,-,-,-,-,-,-,-,6254600192,15840799744,-,-,1082279985152,-,15840799744,-,-,-,-,1238300032,-,-,-,-,1253260001280,-,-,2019-09-30
HDFC.NS,24661999616,-,-,3591600128,12049399808,-,-,-,-,-,-,-,16007300096,17258299392,-,-,1098260021248,-,17258299392,-,-,-,-,11357800448,-,-,-,-,1439680036864,-,-,2020-09-30
HDFC.NS,142281998336,-,-4575300096,3464100096,55800598528,-,-,-,-,-,-,-,16067699712,22221799424,-,-,1057810022400,-,17646499840,-,-,-,-,11819299840,-,-,-,503189995520,1264790011904,-,-,2020-03-31
