ticker,accounts payable,accounts receivable,accumulated depreciation,capital stock,cash and cash equivalents,cash cash equivalents and marketable securities,current accrued expenses,current assets,current debt,current deferred revenue,current liabilities,gains losses not affecting retained earnings,goodwill,gross ppe,income tax payable,inventory,investments and advances,long term debt,net ppe,non current deferred revenue,non current deferred taxes liabilities,other current assets,other current liabilities,other intangible assets,other non current assets,other non current liabilities,other short term investments,retained earnings,stockholders equity,total non current assets,total non current liabilities net minority interest,report date
HINDUNILVR.NS,72060002304,18160001024,-16960000000,2160000000,6209999872,68539998208,-,119139999744,990000000,-,86670000128,-,1170000000,62940000256,-,25739999232,-,-,45980000256,-,-,10000000,3470000128,4060000000,-,2169999872,62329999360,73480003584,78669996032,67150000128,20770000896,2019-03-31
HINDUNILVR.NS,88020000768,17579999232,-33909999616,2350000128,18420000768,-,-,142169997312,-,-,111030001664,-,173969997824,102519996416,-,35790000128,-,-,68609998848,-,59880001536,4969999872,960000000,279300014080,6080000000,-,60000002048,68800004096,476739993600,545399996416,99599998976,2021-03-31
HINDUNILVR.NS,78179999744,18520000512,-,2160000000,23200000000,83840000000,-,130879995904,790000000,-,98209996800,-,1170000000,55339999232,-,22549999616,-,-,55339999232,-,-,5920000000,7219999744,3990000128,1630000000,2040000000,60640002048,-,80329998336,75679997952,27769999360,2019-09-30
HINDUNILVR.NS,84080001024,20679999488,-,2350000128,20139999232,-,-,134149996544,1870000000,-,110970003456,-,173969997824,66180001792,-,34850000896,-,-,66180001792,-,58609999872,7409999872,4809999872,279459987456,1880000000,-,50900000768,-,468300005376,542370004992,97090002944,2020-09-30
HINDUNILVR.NS,75349999616,11489999872,-24369999872,2160000000,32160000000,-,-,123209998336,0,-,93169999872,-,1170000000,79940001792,-,27669999616,-,-,55570001920,-,-,10000000,1580000000,4020000000,-,-,42210000896,76980002816,82289999872,78320001024,25899999232,2020-03-31
