Date,Open,High,Low,Close
1-January-2019,36161.80,36284.04,35888.62,36254.57,
2-January-2019,36198.13,36236.70,35734.01,35891.52,
3-January-2019,35934.50,35999.66,35475.57,35513.71,
4-January-2019,35590.79,35744.20,35382.08,35695.10,
7-January-2019,35971.18,36076.95,35809.23,35850.16,
8-January-2019,35964.62,36037.35,35753.95,35980.93,
9-January-2019,36181.37,36250.54,35863.29,36212.91,
10-January-2019,36258.00,36269.31,36070.76,36106.50,
11-January-2019,36191.87,36214.26,35840.60,36009.84,
14-January-2019,36113.27,36124.94,35691.75,35853.56,
15-January-2019,35950.08,36349.31,35950.08,36318.33,
16-January-2019,36370.74,36462.03,36278.61,36321.29,
17-January-2019,36413.60,36468.42,36170.80,36374.08,
18-January-2019,36417.58,36469.98,36218.33,36386.61,
21-January-2019,36467.12,36701.03,36351.77,36578.96,
22-January-2019,36649.92,36650.47,36282.93,36444.64,
23-January-2019,36494.12,36521.47,36037.90,36108.47,
24-January-2019,36146.55,36258.28,35996.68,36195.10,
25-January-2019,36245.77,36474.48,35953.15,36025.54,
28-January-2019,36099.62,36124.26,35565.15,35656.70,
29-January-2019,35716.72,35734.14,35375.51,35592.50,
30-January-2019,35819.67,35850.41,35490.97,35591.25,
31-January-2019,35805.51,36278.13,35740.07,36256.69,
1-February-2019,36311.74,36778.14,36221.32,36469.43,
4-February-2019,36456.22,36622.77,36225.48,36582.74,
5-February-2019,36573.04,36727.83,36495.83,36616.81,
6-February-2019,36714.54,37005.25,36680.88,36975.23,
7-February-2019,37026.56,37172.18,36898.80,36971.09,
8-February-2019,36873.59,36885.58,36480.62,36546.48,
11-February-2019,36585.50,36588.41,36300.48,36395.03,
12-February-2019,36405.72,36465.40,36113.91,36153.62,
13-February-2019,36279.63,36375.80,35962.68,36034.11,
14-February-2019,36065.08,36109.10,35799.42,35876.22,
15-February-2019,35985.68,36022.57,35510.97,35808.95,
18-February-2019,35831.18,35912.44,35470.76,35498.44,
19-February-2019,35543.24,35776.04,35287.16,35352.61,
20-February-2019,35564.93,35797.11,35469.49,35756.26,
21-February-2019,35837.00,35983.07,35707.29,35898.35,
22-February-2019,35906.01,35941.69,35795.79,35871.48,
25-February-2019,35983.80,36242.18,35901.06,36213.38,
26-February-2019,35975.75,36172.52,35714.16,35973.71,
27-February-2019,36138.83,36371.11,35735.33,35905.43,
28-February-2019,36025.72,36085.85,35829.15,35867.44,
1-March-2019,36018.49,36140.67,35952.41,36063.81,
5-March-2019,36141.07,36457.44,35926.94,36442.54,
6-March-2019,36544.86,36666.47,36456.82,36636.10,
7-March-2019,36744.02,36830.25,36590.88,36725.42,
8-March-2019,36753.59,36753.59,36592.93,36671.43,
11-March-2019,36741.57,37106.19,36726.39,37054.10,
12-March-2019,37249.65,37586.63,37230.85,37535.66,
13-March-2019,37608.29,37797.29,37478.87,37752.17,
14-March-2019,37840.64,37907.78,37693.69,37754.89,
15-March-2019,37760.23,38254.77,37760.23,38024.32,
18-March-2019,38132.96,38369.59,37952.10,38095.07,
19-March-2019,38218.59,38396.06,38078.23,38363.47,
20-March-2019,38433.86,38489.81,38316.21,38386.75,
22-March-2019,38452.47,38564.71,38089.36,38164.61,
25-March-2019,38016.76,38016.76,37667.40,37808.91,
26-March-2019,37886.29,38297.70,37800.08,38233.41,
27-March-2019,38372.03,38475.93,38001.34,38132.88,
28-March-2019,38208.30,38593.65,38148.44,38545.72,
29-March-2019,38675.00,38748.54,38546.68,38672.91,
1-April-2019,38858.88,39115.57,38808.74,38871.87,
2-April-2019,38988.57,39121.69,38846.96,39056.65,
3-April-2019,39167.05,39270.14,38826.56,38877.12,
4-April-2019,38935.75,38939.35,38581.04,38684.72,
5-April-2019,38839.52,38958.60,38701.04,38862.23,
8-April-2019,38993.60,39041.25,38520.96,38700.53,
9-April-2019,38730.93,38978.99,38598.72,38939.22,
10-April-2019,38898.60,38950.45,38542.28,38585.35,
11-April-2019,38621.58,38649.98,38460.25,38607.01,
12-April-2019,38692.06,38818.87,38554.79,38767.11,
15-April-2019,38805.54,38976.58,38780.08,38905.84,
16-April-2019,39040.30,39364.34,39038.81,39275.64,
