Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1968.000000,2014.699951,1954.500000,2009.000000,1914.715820,1305443
2019-01-02,2004.699951,2009.000000,1961.000000,1980.650024,1887.696167,2001170
2019-01-03,1984.050049,1987.099976,1931.849976,1936.849976,1845.951660,3732193
2019-01-04,1948.000000,1976.000000,1942.000000,1972.599976,1880.023926,2109614
2019-01-07,1976.949951,1987.500000,1963.949951,1972.900024,1880.309937,2255477
2019-01-08,1983.000000,1983.000000,1948.000000,1958.949951,1867.014648,2061919
2019-01-09,1962.000000,1998.000000,1962.000000,1994.949951,1901.324951,2905090
2019-01-10,1993.000000,1993.000000,1971.300049,1980.099976,1887.171997,2138302
2019-01-11,1978.000000,2007.699951,1972.400024,1991.400024,1897.941772,1814132
2019-01-14,1983.000000,1983.150024,1949.599976,1969.199951,1876.783447,2167796
2019-01-15,1975.199951,1996.000000,1964.000000,1992.150024,1898.656494,2111042
2019-01-16,1989.000000,1994.750000,1965.500000,1975.000000,1882.311401,1878811
2019-01-17,1982.750000,2007.000000,1979.050049,2004.550049,1910.474609,2773741
2019-01-18,2004.000000,2012.599976,1989.250000,2006.849976,1912.666382,1942136
2019-01-21,1998.000000,2016.000000,1983.199951,2004.449951,1910.379272,2146668
2019-01-22,1999.000000,2002.150024,1968.500000,1979.400024,1886.505005,3502920
2019-01-23,1981.800049,1984.949951,1951.300049,1958.250000,1866.347412,2201110
2019-01-24,1960.000000,1976.000000,1942.150024,1971.099976,1878.594360,2194496
2019-01-25,1964.400024,1993.000000,1963.949951,1977.800049,1884.979858,2240491
2019-01-28,1978.699951,1982.199951,1938.099976,1946.900024,1855.530151,2698966
2019-01-29,1943.699951,1949.900024,1893.300049,1922.300049,1832.084595,4035877
2019-01-30,1924.599976,1929.300049,1869.500000,1885.800049,1797.297607,4127767
2019-01-31,1883.000000,1941.199951,1877.300049,1922.349976,1832.132324,5303839
2019-02-01,1929.000000,1974.449951,1925.099976,1961.250000,1869.206787,4867443
2019-02-04,1959.900024,1981.949951,1942.000000,1978.500000,1885.646973,1421635
2019-02-05,1979.800049,1985.000000,1962.250000,1981.400024,1888.411011,1450509
2019-02-06,1983.599976,1994.900024,1975.500000,1987.949951,1894.653564,2036890
2019-02-07,1990.050049,1991.949951,1962.550049,1969.650024,1877.212524,2722458
2019-02-08,1963.099976,1968.599976,1936.849976,1944.650024,1853.385742,2187808
2019-02-11,1943.900024,1959.000000,1935.599976,1948.199951,1856.769043,2209258
2019-02-12,1950.000000,1956.400024,1901.150024,1905.050049,1815.644165,2642567
2019-02-14,1921.000000,1929.250000,1893.849976,1900.699951,1811.498413,2511047
2019-02-15,1900.599976,1900.599976,1856.500000,1874.900024,1786.909302,2647706
2019-02-18,1877.300049,1893.000000,1864.050049,1874.849976,1786.861572,2768637
2019-02-19,1870.000000,1888.500000,1844.250000,1853.449951,1766.465698,2988645
2019-02-20,1865.000000,1874.949951,1858.000000,1870.500000,1782.715576,2645051
2019-02-21,1871.000000,1894.699951,1865.099976,1891.449951,1802.682251,1578842
2019-02-22,1893.949951,1899.000000,1877.500000,1887.400024,1798.822632,2461406
2019-02-25,1897.900024,1897.900024,1871.500000,1894.500000,1805.589233,2049742
2019-02-26,1874.000000,1894.650024,1850.000000,1853.650024,1766.656372,3756159
2019-02-27,1868.000000,1870.000000,1820.000000,1841.000000,1754.600098,3412510
2019-02-28,1849.000000,1853.650024,1834.599976,1841.199951,1754.790649,5693899
2019-03-01,1850.400024,1863.400024,1838.300049,1859.449951,1772.184204,2679223
2019-03-05,1856.800049,1868.400024,1838.550049,1860.000000,1772.708374,2256049
2019-03-06,1864.699951,1889.500000,1858.800049,1885.199951,1796.725708,1828916
2019-03-07,1892.000000,1892.000000,1865.199951,1880.199951,1791.960327,2171462
