Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,7449.750000,7494.000000,7395.000000,7476.799805,7261.906738,625360
2019-01-02,7445.000000,7460.000000,7244.000000,7267.850098,7058.962891,891844
2019-01-03,7280.000000,7350.000000,7185.600098,7203.950195,6996.899902,715168
2019-01-04,7239.000000,7309.000000,7161.200195,7234.500000,7026.571289,774445
2019-01-07,7310.000000,7407.000000,7300.000000,7362.049805,7150.454590,687845
2019-01-08,7380.000000,7454.799805,7322.100098,7439.500000,7225.679199,516841
2019-01-09,7460.500000,7529.000000,7414.000000,7492.899902,7277.544434,740580
2019-01-10,7500.000000,7511.000000,7360.149902,7391.600098,7179.155762,452699
2019-01-11,7382.700195,7400.000000,7282.000000,7320.500000,7110.099609,488399
2019-01-14,7330.000000,7433.350098,7257.000000,7408.700195,7195.764648,424152
2019-01-15,7430.000000,7470.000000,7317.000000,7355.149902,7143.753418,491196
2019-01-16,7349.500000,7384.000000,7291.100098,7310.250000,7100.144043,424769
2019-01-17,7339.000000,7398.950195,7307.500000,7336.250000,7125.396973,462725
2019-01-18,7345.000000,7379.950195,7318.000000,7357.950195,7146.473145,334555
2019-01-21,7358.000000,7380.000000,7161.000000,7208.399902,7001.221191,654537
2019-01-22,7180.000000,7180.000000,7054.500000,7068.850098,6865.682129,896521
2019-01-23,7050.000000,7132.250000,7025.000000,7045.399902,6842.905762,702474
2019-01-24,7059.899902,7098.000000,7014.399902,7040.600098,6838.244141,520703
2019-01-25,7054.000000,7133.000000,6410.000000,6513.399902,6326.195801,3062762
2019-01-28,6512.500000,6610.000000,6317.700195,6511.049805,6323.913574,2398091
2019-01-29,6480.000000,6619.149902,6447.399902,6526.950195,6339.357422,1101399
2019-01-30,6559.000000,6588.000000,6508.000000,6548.250000,6360.044434,583773
2019-01-31,6575.000000,6660.049805,6460.049805,6641.149902,6450.274414,926270
2019-02-01,6679.000000,7204.000000,6652.549805,6962.299805,6762.193848,2545419
2019-02-04,6975.000000,7039.000000,6851.649902,6988.200195,6787.350586,658776
2019-02-05,6995.000000,7125.000000,6985.399902,7093.600098,6889.720703,681498
2019-02-06,7120.000000,7220.000000,7067.000000,7183.399902,6976.939941,567827
2019-02-07,7201.000000,7320.000000,7185.100098,7302.549805,7092.665039,690174
2019-02-08,7270.000000,7300.000000,7100.000000,7134.250000,6929.202637,576159
2019-02-11,7150.000000,7209.950195,7051.100098,7177.899902,6971.597656,502244
2019-02-12,7193.000000,7230.000000,7127.950195,7162.500000,6956.640137,494592
2019-02-14,7036.700195,7111.200195,6990.000000,7017.500000,6815.808105,622311
2019-02-15,7027.399902,7058.700195,6900.000000,6930.049805,6730.871094,768798
2019-02-18,6964.700195,6997.799805,6817.000000,6842.700195,6646.032227,509963
2019-02-19,6855.000000,6915.899902,6771.000000,6804.549805,6608.978516,493861
2019-02-20,6842.000000,6888.000000,6804.399902,6849.899902,6653.025391,534284
2019-02-21,6868.950195,6879.649902,6715.000000,6801.549805,6606.064453,722938
2019-02-22,6827.000000,6939.000000,6819.049805,6912.399902,6713.729004,764535
2019-02-25,6948.000000,6984.899902,6870.049805,6924.899902,6725.869629,495728
2019-02-26,6885.000000,6975.000000,6812.600098,6904.299805,6705.861328,673415
2019-02-27,6943.000000,7048.000000,6853.200195,6968.500000,6768.216309,961829
2019-02-28,7010.000000,7040.000000,6801.000000,6829.700195,6633.405762,1031563
2019-03-01,6876.799805,6950.000000,6827.250000,6935.149902,6735.824707,768822
2019-03-05,6950.000000,7158.149902,6894.450195,7117.750000,6913.176758,838538
2019-03-06,7137.850098,7144.899902,7010.000000,7056.899902,6854.075684,557197
2019-03-07,7078.000000,7092.500000,7002.000000,7029.049805,6827.025879,396771
2019-03-08,6975.000000,7025.000000,6951.000000,6967.700195,6767.439453,486432
2019-03-11,6980.000000,7121.600098,6975.000000,7081.899902,6878.356934,720905
2019-03-12,7097.000000,7232.000000,7096.000000,7157.200195,6951.492676,828847
2019-03-13,7177.000000,7202.950195,7050.000000,7091.049805,6887.243652,534982
2019-03-14,7103.000000,7148.000000,7047.250000,7086.299805,6882.630859,584482
2019-03-15,7109.000000,7157.000000,7060.000000,7084.000000,6880.396973,861945
2019-03-18,7077.450195,7077.450195,6776.600098,6894.000000,6695.856934,1336134
2019-03-19,6900.000000,6901.950195,6809.250000,6825.200195,6629.035156,816763
2019-03-20,6860.000000,6860.000000,6650.000000,6673.549805,6481.743164,1017560
2019-03-22,6567.000000,6716.299805,6532.350098,6552.700195,6364.367188,1715983
2019-03-25,6515.000000,6621.000000,6491.200195,6522.600098,6335.132324,1093184
2019-03-26,6558.000000,6600.000000,6480.000000,6585.700195,6396.418457,909087
2019-03-27,6628.000000,6640.000000,6500.000000,6518.000000,6330.664063,887601
2019-03-28,6535.000000,6625.000000,6501.200195,6596.250000,6406.665527,949713
